treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_OBJ_AkELKA_Chest_CF_A",1,0,0,0,0,0,0,0
new treasuretable "AkELKA_Chest_ChaosForge_A_TT"
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_CF_ArmorNPC_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_MM_Supplies_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_CF_Armor_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_CF_Boots_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELKA_Chest_CF_Glovebox_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_CF_Capes_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELKA_Chest_CF_CampCloth_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELKA_Chest_CF_CampCloth_A_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELKA_Chest_CF_Underwear_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AkELkA_Chest_ChaosForge_Z_LostShipment_DEBUG_A",1,0,0,0,0,0,0,0
new treasuretable "AkELKA_Chest_ChaosForge_Armor_A_TT"
new subtable "1,1"
object category "I_ARM_Civilian_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Mindflayer_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Nightsong_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Daisy_Plate_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_A_Decor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Elven_A",1,0,0,0,0,0,0,0
new subtable "1,1"
